id,title,authors,url,image_url,news_site,summary,published_at,updated_at,featured,launches,events,category,entities,keywords
29002,Top House Science Committee Democrat asks NASA for information on executive order implementation,"[{'name': 'Jeff Foust', 'socials': {'x': 'https://x.com/jeff_foust', 'youtube': '', 'instagram': '', 'linkedin': 'https://www.linkedin.com/in/jefffoust', 'mastodon': 'https://mastodon.social/@jfoust', 'bluesky': 'https://bsky.app/profile/jfoust.bsky.social'}}]",https://spacenews.com/top-house-science-committee-democrat-asks-nasa-for-information-on-executive-order-implementation/,https://i0.wp.com/spacenews.com/wp-content/uploads/2025/02/53690378935_2c93ca024f_k.jpg?fit=1024%2C679&quality=89&ssl=1,SpaceNews,"
The top Democrat on the House Science Committee is asking NASA for information on how it is complying with executive orders related to diversity measures.
The post Top House Science Committee Democrat asks NASA for information on executive order implementation appeared first on SpaceNews.",2025-02-04T20:25:24Z,2025-02-04T20:30:16.039811Z,False,[],[],NASA,"{'ORG': ['the House Science Committee', 'NASA', 'NASA', 'SpaceNews'], 'PERSON': [], 'GPE': []}","['democrat', 'house', 'science', 'committee', 'asking', 'nasa', 'information', 'complying', 'executive', 'orders', 'related', 'diversity', 'measures', 'post', 'house', 'science', 'committee', 'democrat', 'asks', 'nasa', 'information', 'executive', 'order', 'implementation', 'appeared', 'first', 'spacenews']"
28999,French space propulsion firm ThrustMe expands U.S. footprint,"[{'name': 'Sandra Erwin', 'socials': None}]",https://spacenews.com/french-space-propulsion-firm-thrustme-expands-u-s-footprint/,https://i0.wp.com/spacenews.com/wp-content/uploads/2022/09/rsz_i2t5_le_point.jpg?fit=879%2C586&quality=89&ssl=1,SpaceNews,"
The company specializes in iodine-based propulsion systems for small satellites 
The post French space propulsion firm ThrustMe expands U.S. footprint appeared first on SpaceNews.",2025-02-04T20:06:49Z,2025-02-04T20:10:24.529216Z,False,[],[],Other,"{'ORG': ['ThrustMe', 'SpaceNews'], 'PERSON': [], 'GPE': ['U.S.']}","['company', 'specializes', 'iodine', 'based', 'propulsion', 'systems', 'small', 'satellites', 'post', 'french', 'space', 'propulsion', 'firm', 'thrustme', 'expands', 'footprint', 'appeared', 'first', 'spacenews']"
28998,Bullseye!,"[{'name': 'NASA', 'socials': None}]",https://www.nasa.gov/image-article/bullseye/,https://www.nasa.gov/wp-content/uploads/2025/02/hubble-leda1313424-stsci-01jjadtmj80r1r4w6kk563rw2c.jpg,NASA,"This image from NASA’s Hubble Space Telescope, released on Feb. 4, 2025, shows the gargantuan galaxy LEDA 1313424, aptly nicknamed the Bullseye. A far smaller blue dwarf galaxy went through the Bullseye’s center, leaving nine star-filled rings. Astronomers using Hubble identified eight visible rings, more than previously detected by any telescope in any galaxy, and confirmed […]",2025-02-04T20:01:02Z,2025-02-04T20:10:20.048503Z,False,[],[],Other,"{'ORG': ['NASA'], 'PERSON': ['Hubble Space'], 'GPE': ['Bullseye']}","['image', 'nasa', 'hubble', 'space', 'telescope', 'released', '2025', 'shows', 'gargantuan', 'galaxy', 'leda', '1313424', 'aptly', 'nicknamed', 'bullseye', 'smaller', 'blue', 'dwarf', 'galaxy', 'went', 'through', 'bullseye', 'center', 'leaving', 'nine', 'star', 'filled', 'rings', 'astronomers', 'using', 'hubble', 'identified', 'eight', 'visible', 'rings', 'than', 'previously', 'detected', 'telescope', 'galaxy', 'confirmed']"
28996,Thales Alenia Space to Build Emirates Airlock for Lunar Gateway Station,"[{'name': 'European Spaceflight', 'socials': None}]",https://europeanspaceflight.com/thales-alenia-space-to-build-emirates-airlock-for-lunar-gateway-station/,https://europeanspaceflight.com/wp-content/uploads/2025/02/Thales-Alenia-Space-to-Build-Emirates-Airlock-for-Lunar-Gateway-Station.jpg,European Spaceflight,"The Mohammed Bin Rashid Space Centre of the United Arab Emirates has awarded Thales Alenia Space a contract to design and develop the Emirates Crew and Science Airlock Module, the country’s contribution to NASA’s Lunar Gateway space station. In exchange for its contribution, an Emirati astronaut will secure a future mission to the station. Designed […]
The post Thales Alenia Space to Build Emirates Airlock for Lunar Gateway Station appeared first on European Spaceflight.",2025-02-04T19:58:56Z,2025-02-04T20:00:18.393164Z,False,[],[],Other,"{'ORG': ['Thales Alenia Space', 'NASA', 'Emirati', 'Thales Alenia Space to Build Emirates'], 'PERSON': ['Mohammed Bin Rashid Space Centre'], 'GPE': ['the United Arab Emirates']}","['mohammed', 'rashid', 'space', 'centre', 'united', 'arab', 'emirates', 'awarded', 'thales', 'alenia', 'space', 'contract', 'design', 'develop', 'emirates', 'crew', 'science', 'airlock', 'module', 'country', 'contribution', 'nasa', 'lunar', 'gateway', 'space', 'station', 'exchange', 'contribution', 'emirati', 'astronaut', 'will', 'secure', 'future', 'mission', 'station', 'designed', 'post', 'thales', 'alenia', 'space', 'build', 'emirates', 'airlock', 'lunar', 'gateway', 'station', 'appeared', 'first', 'european', 'spaceflight']"
29000,Thales Alenia Space Secures $900M Contract For Argonaut Lunar Lander Descent Element,"[{'name': 'Zac Aubert', 'socials': {'x': 'https://x.com/Astro_Aubert', 'youtube': '', 'instagram': '', 'linkedin': 'https://www.linkedin.com/in/zachary-aubert-43853b22/', 'mastodon': '', 'bluesky': ''}}]",https://tlpnetwork.com/news/europe/thales-alenia-space-secures-contract-for-argonaut-lunar-lander-descent-element,https://cdn.tlpnetwork.com/articles/2025/1738699259128.webp,The Launch Pad,Thales Alenia Space Secures $900M Contract For Argonaut Lunar Lander Descent Element,2025-02-04T19:56:00Z,2025-02-04T20:10:33.572650Z,False,[],[],Other,"{'ORG': ['Thales Alenia Space Secures'], 'PERSON': ['Argonaut Lunar'], 'GPE': []}","['thales', 'alenia', 'space', 'secures', '900m', 'contract', 'argonaut', 'lunar', 'lander', 'descent', 'element']"
29001,ESA Awards €367 Million Contract for EnVision Venus Mission Development,"[{'name': 'Zac Aubert', 'socials': {'x': 'https://x.com/Astro_Aubert', 'youtube': '', 'instagram': '', 'linkedin': 'https://www.linkedin.com/in/zachary-aubert-43853b22/', 'mastodon': '', 'bluesky': ''}}]",https://tlpnetwork.com/news/europe/esa-awards-multi-million-contract-for-envision-venus-mission-development,https://cdn.tlpnetwork.com/articles/2025/1738698882114.webp,The Launch Pad,ESA Awards €367 Million Contract for EnVision Venus Mission Development,2025-02-04T19:54:00Z,2025-02-04T20:10:33.591225Z,False,[],[],Other,"{'ORG': ['ESA'], 'PERSON': [], 'GPE': []}","['awards', 'million', 'contract', 'envision', 'venus', 'mission', 'development']"
28997,Mission Space to launch first sensors for space-weather constellation,"[{'name': 'Debra Werner', 'socials': None}]",https://spacenews.com/mission-space-to-launch-first-sensors-for-space-weather-constellation/,https://i0.wp.com/spacenews.com/wp-content/uploads/2025/02/rsz_mission_space_zohar.png?fit=879%2C517&quality=80&ssl=1,SpaceNews,"
Mission Space is preparing to launch a space-weather sensor, a first step in building a constellation. 
The post Mission Space to launch first sensors for space-weather constellation appeared first on SpaceNews.",2025-02-04T19:50:41Z,2025-02-04T20:00:19.218738Z,False,[],[],Other,"{'ORG': ['SpaceNews'], 'PERSON': [], 'GPE': []}","['mission', 'space', 'preparing', 'launch', 'space', 'weather', 'sensor', 'first', 'step', 'building', 'constellation', 'post', 'mission', 'space', 'launch', 'first', 'sensors', 'space', 'weather', 'constellation', 'appeared', 'first', 'spacenews']"
28994,NASA Demonstrates Software ‘Brains’ Shared Across Satellite Swarms,"[{'name': 'NASA', 'socials': None}]",https://www.nasa.gov/centers-and-facilities/ames/nasa-demonstrates-software-brains-shared-across-satellite-swarms/,https://www.nasa.gov/wp-content/uploads/2025/02/acd24-0190-006.jpg,NASA,"Talk amongst yourselves, get on the same page, and work together to get the job done! This “pep talk” roughly describes how new NASA technology works within satellite swarms. This technology, called Distributed Spacecraft Autonomy (DSA), allows individual spacecraft to make independent decisions while collaborating with each other to achieve common goals – all without […]",2025-02-04T19:49:25Z,2025-02-04T19:50:10.404164Z,False,[],[],NASA,"{'ORG': ['NASA', 'Distributed Spacecraft Autonomy', 'DSA'], 'PERSON': [], 'GPE': []}","['talk', 'amongst', 'yourselves', 'same', 'page', 'work', 'together', 'done', 'talk', 'roughly', 'describes', 'nasa', 'technology', 'works', 'within', 'satellite', 'swarms', 'technology', 'called', 'distributed', 'spacecraft', 'autonomy', 'allows', 'individual', 'spacecraft', 'make', 'independent', 'decisions', 'while', 'collaborating', 'each', 'other', 'achieve', 'common', 'goals', 'without']"
28993,Europe has the worst imaginable idea to counter SpaceX’s launch dominance,"[{'name': 'Eric Berger', 'socials': None}]",https://arstechnica.com/space/2025/02/europe-has-the-worst-imaginable-idea-to-counter-spacexs-launch-dominance/,https://cdn.arstechnica.net/wp-content/uploads/2024/07/71493.jpg,Arstechnica,"This plan, if it ever gets off the ground, seems destined to fail.",2025-02-04T19:37:49Z,2025-02-04T19:50:09.487689Z,False,[],[],SpaceX,"{'ORG': [], 'PERSON': [], 'GPE': []}","['plan', 'ever', 'gets', 'ground', 'seems', 'destined', 'fail']"
28995,Firefly Aerospace Targets 2026 For Global Launch Capability Expansion In Virginia and Sweden,"[{'name': 'Zac Aubert', 'socials': {'x': 'https://x.com/Astro_Aubert', 'youtube': '', 'instagram': '', 'linkedin': 'https://www.linkedin.com/in/zachary-aubert-43853b22/', 'mastodon': '', 'bluesky': ''}}]",https://tlpnetwork.com/news/america/firefly-aerospace-targets-2026-for-global-launch-capability-expansion-in-virginia-and-sweden,https://cdn.tlpnetwork.com/articles/2025/1738698021413.webp,The Launch Pad,Firefly Aerospace Targets 2026 For Global Launch Capability Expansion In Virginia and Sweden,2025-02-04T19:29:00Z,2025-02-04T19:50:25.996888Z,False,[],[],Other,"{'ORG': ['Firefly Aerospace Targets 2026', 'Global Launch Capability Expansion'], 'PERSON': [], 'GPE': ['Virginia', 'Sweden']}","['firefly', 'aerospace', 'targets', '2026', 'global', 'launch', 'capability', 'expansion', 'virginia', 'sweden']"
28992,"En Route to Jupiter, NASA’s Europa Clipper Captures Images of Stars","[{'name': 'NASA', 'socials': None}]",https://www.nasa.gov/missions/europa-clipper/en-route-to-jupiter-nasas-europa-clipper-captures-images-of-stars/,https://www.nasa.gov/wp-content/uploads/2025/02/1b-star-field-labeled.png,NASA,"The spacecraft’s star trackers help engineers orient the orbiter throughout its long journey to Jupiter’s icy moon Europa. Three months after its launch from NASA’s Kennedy Space Center in Florida, the agency’s Europa Clipper has another 1.6 billion miles (2.6 billion kilometers) to go before it reaches Jupiter’s orbit in 2030 to take close-up images […]",2025-02-04T18:51:30Z,2025-02-04T19:00:17.625681Z,False,[],[],NASA,"{'ORG': ['NASA', 'Europa Clipper'], 'PERSON': [], 'GPE': ['Florida']}","['spacecraft', 'star', 'trackers', 'help', 'engineers', 'orient', 'orbiter', 'throughout', 'long', 'journey', 'jupiter', 'moon', 'europa', 'three', 'months', 'after', 'launch', 'nasa', 'kennedy', 'space', 'center', 'florida', 'agency', 'europa', 'clipper', 'another', 'billion', 'miles', 'billion', 'kilometers', 'before', 'reaches', 'jupiter', 'orbit', '2030', 'take', 'close', 'images']"
28991,Blue Origin launches New Shepard on lunar gravity suborbital flight,"[{'name': 'Jeff Foust', 'socials': {'x': 'https://x.com/jeff_foust', 'youtube': '', 'instagram': '', 'linkedin': 'https://www.linkedin.com/in/jefffoust', 'mastodon': 'https://mastodon.social/@jfoust', 'bluesky': 'https://bsky.app/profile/jfoust.bsky.social'}}]",https://spacenews.com/blue-origin-launches-new-shepard-on-lunar-gravity-suborbital-flight/,https://i0.wp.com/spacenews.com/wp-content/uploads/2025/02/ns29-descent.jpeg?fit=1024%2C607&quality=89&ssl=1,SpaceNews,"
Blue Origin launched its New Shepard suborbital vehicle Feb. 4 on the company’s first attempt to simulate lunar gravity in flight.
The post Blue Origin launches New Shepard on lunar gravity suborbital flight appeared first on SpaceNews.",2025-02-04T18:09:43Z,2025-02-04T18:10:24.138888Z,False,[],[],Other,"{'ORG': ['Blue Origin', 'New Shepard', 'Blue Origin', 'SpaceNews'], 'PERSON': [], 'GPE': []}","['blue', 'origin', 'launched', 'shepard', 'suborbital', 'vehicle', 'company', 'first', 'attempt', 'simulate', 'lunar', 'gravity', 'flight', 'post', 'blue', 'origin', 'launches', 'shepard', 'lunar', 'gravity', 'suborbital', 'flight', 'appeared', 'first', 'spacenews']"
28990,In the Starlight: Anika Isaac’s Mission to Counsel NASA’s Workforce,"[{'name': 'NASA', 'socials': None}]",https://www.nasa.gov/general/in-the-starlight-anika-isaacs-mission-to-counsel-nasas-workforce/,https://www.nasa.gov/wp-content/uploads/2025/02/a-isaac-headshot.jpg,NASA,"An interesting fact about Johnson Space Center’s Anika Isaac, MS, LPC, LMFT, LCDC, CEAP, NCC, is that there are more letters following her name than there are in it. A licensed professional counselor, marriage and family therapist, and chemical dependency counselor with several other certifications, Isaac has been a fixture of Johnson’s Employee Assistance Program […]",2025-02-04T17:52:05Z,2025-02-04T18:00:16.255937Z,False,[],[],NASA,"{'ORG': ['Johnson Space Center’s Anika Isaac', 'LPC', 'LMFT', 'CEAP', 'NCC', 'Johnson’s Employee Assistance Program'], 'PERSON': ['Isaac'], 'GPE': ['MS']}","['interesting', 'fact', 'about', 'johnson', 'space', 'center', 'anika', 'isaac', 'lmft', 'lcdc', 'ceap', 'there', 'letters', 'following', 'name', 'than', 'there', 'licensed', 'professional', 'counselor', 'marriage', 'family', 'therapist', 'chemical', 'dependency', 'counselor', 'several', 'other', 'certifications', 'isaac', 'been', 'fixture', 'johnson', 'employee', 'assistance', 'program']"
28989,NASA’s Cloud-based Confluence Software Helps Hydrologists Study Rivers on a Global Scale,"[{'name': 'NASA', 'socials': None}]",https://science.nasa.gov/science-research/science-enabling-technology/nasas-cloud-based-confluence-software-helps-hydrologists-study-rivers-on-a-global-scale/,https://assets.science.nasa.gov/dynamicimage/assets/science/esd/eo/images/imagerecords/50000/50385/ISS027-E-011058_lrg.jpg,NASA,"Rivers shape ecosystems and economies, yet hydrologists have limited tools to study them. Enter Confluence—a groundbreaking, open-source framework leveraging NASA’s SWOT mission and HLS data to estimate river discharge and sediment levels worldwide. Hosted by PO.DAAC, Confluence delivers rapid, global insights, revolutionizing hydrology with cloud-based efficiency. A game changer for river monitoring.",2025-02-04T16:52:46Z,2025-02-04T17:10:19.756094Z,False,[],[],NASA,"{'ORG': ['NASA'], 'PERSON': [], 'GPE': []}","['rivers', 'shape', 'ecosystems', 'economies', 'hydrologists', 'limited', 'tools', 'study', 'them', 'enter', 'confluence', 'groundbreaking', 'open', 'source', 'framework', 'leveraging', 'nasa', 'swot', 'mission', 'data', 'estimate', 'river', 'discharge', 'sediment', 'levels', 'worldwide', 'hosted', 'daac', 'confluence', 'delivers', 'rapid', 'global', 'insights', 'revolutionizing', 'hydrology', 'cloud', 'based', 'efficiency', 'game', 'changer', 'river', 'monitoring']"
28988,ArkEdge Space Raises JPY 8 Billion  in Series B Funding  to Become Leading Satellite System Integrator —Accelerating Satellite Mass Production and Business Expansion,"[{'name': 'ArkEdge Space', 'socials': None}]",https://spacenews.com/arkedge-space-raises-jpy-8-billion-in-series-b-funding-to-become-leading-satellite-system-integrator-accelerating-satellite-mass-production-and-business-expansion/,https://i0.wp.com/spacenews.com/wp-content/uploads/2025/02/ark-square.png?fit=1024%2C1024&quality=80&ssl=1,SpaceNews,"
Tokyo, Japan, Feb 4, 2025-ArkEdge Space Inc. (“ArkEdge Space”), a Japanese space startup based in Tokyo that provides comprehensive solutions from planning and design to mass production and operation of […]
The post ArkEdge Space Raises JPY 8 Billion  in Series B Funding  to Become Leading Satellite System Integrator —Accelerating Satellite Mass Production and Business Expansion appeared first on SpaceNews.",2025-02-04T15:50:49Z,2025-02-04T16:00:24.476229Z,False,[],[],Other,"{'ORG': ['Become Leading Satellite System Integrator', 'Business Expansion', 'SpaceNews'], 'PERSON': [], 'GPE': ['Tokyo', 'Japan', 'Tokyo']}","['tokyo', 'japan', '2025', 'arkedge', 'space', 'arkedge', 'space', 'japanese', 'space', 'startup', 'based', 'tokyo', 'provides', 'comprehensive', 'solutions', 'planning', 'design', 'mass', 'production', 'operation', 'post', 'arkedge', 'space', 'raises', 'billion', 'series', 'funding', 'become', 'leading', 'satellite', 'system', 'integrator', 'accelerating', 'satellite', 'mass', 'production', 'business', 'expansion', 'appeared', 'first', 'spacenews']"
28986,Former Pentagon official Frank Calvelli joins True Anomaly’s board of directors,"[{'name': 'Sandra Erwin', 'socials': None}]",https://spacenews.com/former-pentagon-official-frank-calvelli-joins-true-anomalys-board-of-directors/,https://i0.wp.com/spacenews.com/wp-content/uploads/2023/01/Screenshot-2022-12-06-at-4.20.47-PM-e1674073596725.png?fit=1024%2C494&quality=80&ssl=1,SpaceNews,"
Calvelli recently served as the U.S. Space Force’s top procurement executive
The post Former Pentagon official Frank Calvelli joins True Anomaly’s board of directors appeared first on SpaceNews.",2025-02-04T15:06:28Z,2025-02-04T15:10:21.711623Z,False,[],[],Other,"{'ORG': ['the U.S. Space Force’s', 'Pentagon', 'SpaceNews'], 'PERSON': ['Calvelli', 'Frank Calvelli'], 'GPE': []}","['calvelli', 'recently', 'served', 'space', 'force', 'procurement', 'executive', 'post', 'former', 'pentagon', 'official', 'frank', 'calvelli', 'joins', 'true', 'anomaly', 'board', 'directors', 'appeared', 'first', 'spacenews']"
28985,Straight Shot: Hubble Investigates Galaxy with Nine Rings,"[{'name': 'NASA', 'socials': None}]",https://science.nasa.gov/missions/hubble/hubble-investigates-galaxy-with-nine-rings/,https://assets.science.nasa.gov/dynamicimage/assets/science/missions/hubble/galaxies/interacting/Hubble_LEDA1313424_STScI-01JJADTMJ80R1R4W6KK563RW2C.jpg,NASA,"NASA’s Hubble Space Telescope has captured a cosmic bullseye! The gargantuan galaxy LEDA 1313424 is rippling with nine star-filled rings after an “arrow” — a far smaller blue dwarf galaxy — shot through its heart. Astronomers using Hubble identified eight visible rings, more than previously detected by any telescope in any galaxy, and confirmed a […]",2025-02-04T15:00:03Z,2025-02-04T17:27:30.363653Z,False,"[{'launch_id': '9d2a03ff-1fb2-4519-bcdb-ba9f84e61d3d', 'provider': 'Launch Library 2'}]",[],NASA,"{'ORG': ['NASA'], 'PERSON': [], 'GPE': []}","['nasa', 'hubble', 'space', 'telescope', 'captured', 'cosmic', 'bullseye', 'gargantuan', 'galaxy', 'leda', '1313424', 'rippling', 'nine', 'star', 'filled', 'rings', 'after', 'arrow', 'smaller', 'blue', 'dwarf', 'galaxy', 'shot', 'through', 'heart', 'astronomers', 'using', 'hubble', 'identified', 'eight', 'visible', 'rings', 'than', 'previously', 'detected', 'telescope', 'galaxy', 'confirmed']"
28987,ESA and Finland pave the way towards a supersite for Earth observation,"[{'name': 'ESA', 'socials': None}]",https://www.esa.int/Applications/Observing_the_Earth/FutureEO/ESA_and_Finland_pave_the_way_towards_a_supersite_for_Earth_observation,https://www.esa.int/var/esa/storage/images/esa_multimedia/images/2025/02/sodankylae_finnish_lapland/26567929-1-eng-GB/Sodankylae_Finnish_Lapland_card_full.jpg,ESA,"Today, ESA, the Finnish government and the Finnish Meteorological Institute took the initial steps towards establishing a ‘supersite’ for Earth observation calibration and validation in Sodankylä in Finnish Lapland.",2025-02-04T15:00:00Z,2025-02-04T15:40:21.353496Z,False,[],[],Other,"{'ORG': ['ESA', 'the Finnish Meteorological Institute'], 'PERSON': [], 'GPE': ['Sodankylä']}","['today', 'finnish', 'government', 'finnish', 'meteorological', 'institute', 'took', 'initial', 'steps', 'towards', 'establishing', 'supersite', 'earth', 'observation', 'calibration', 'validation', 'sodankylä', 'finnish', 'lapland']"
28983,ESA’s Gaia finds a mysterious planet and brown dwarf,"[{'name': 'ESA', 'socials': None}]",https://www.esa.int/ESA_Multimedia/Videos/2025/02/ESA_s_Gaia_finds_a_mysterious_planet_and_brown_dwarf,https://www.esa.int/var/esa/storage/images/esa_multimedia/videos/2025/02/esa_s_gaia_finds_a_mysterious_planet_and_brown_dwarf/26566997-1-eng-GB/ESA_s_Gaia_finds_a_mysterious_planet_and_brown_dwarf_card_full.jpg,ESA,"Using data from the European Space Agency’s Gaia mission, scientists have found a huge exoplanet and a brown dwarf. This is the first time a planet has been uniquely discovered by Gaia’s ability to sense the gravitational tug or ‘wobble’ the planet induces on a star. Both the planet and brown dwarf are orbiting low-mass stars, a scenario thought to be extremely rare.",2025-02-04T14:00:00Z,2025-02-04T17:27:40.130853Z,False,"[{'launch_id': '2044f8a1-4dad-4c8b-a3a9-5ecc7045c257', 'provider': 'Launch Library 2'}]",[],Other,"{'ORG': ['the European Space Agency’s'], 'PERSON': [], 'GPE': []}","['using', 'data', 'european', 'space', 'agency', 'gaia', 'mission', 'scientists', 'found', 'huge', 'exoplanet', 'brown', 'dwarf', 'first', 'time', 'planet', 'been', 'uniquely', 'discovered', 'gaia', 'ability', 'sense', 'gravitational', 'wobble', 'planet', 'induces', 'star', 'both', 'planet', 'brown', 'dwarf', 'orbiting', 'mass', 'stars', 'scenario', 'thought', 'extremely', 'rare']"
28980,Why a missile shield in space makes sense,"[{'name': 'Clayton Swope and Tom Karako', 'socials': None}]",https://spacenews.com/why-a-missile-shield-in-space-makes-sense/,https://i0.wp.com/spacenews.com/wp-content/uploads/2024/05/SAS-foo-fighter-contract-hero.jpg.webp?fit=1024%2C574&quality=80&ssl=1,SpaceNews,"
On January 27, 2025, President Donald Trump issued an executive order that called for the creation of a missile defense shield protecting the United States that would, among other things, […]
The post Why a missile shield in space makes sense appeared first on SpaceNews.",2025-02-04T14:00:00Z,2025-02-04T14:00:27.106709Z,False,[],[],Other,"{'ORG': ['SpaceNews'], 'PERSON': ['Donald Trump'], 'GPE': ['the United States']}","['january', '2025', 'president', 'donald', 'trump', 'issued', 'executive', 'order', 'called', 'creation', 'missile', 'defense', 'shield', 'protecting', 'united', 'states', 'would', 'among', 'other', 'things', 'post', 'missile', 'shield', 'space', 'makes', 'sense', 'appeared', 'first', 'spacenews']"
28982,Wobbling stars reveal hidden companions in Gaia data,"[{'name': 'ESA', 'socials': None}]",https://www.esa.int/Science_Exploration/Space_Science/Gaia/Wobbling_stars_reveal_hidden_companions_in_Gaia_data,https://www.esa.int/var/esa/storage/images/esa_multimedia/images/2025/02/artist_impression_of_brown_dwarf_gaia-5b/26566765-1-eng-GB/Artist_impression_of_brown_dwarf_Gaia-5b_card_full.png,ESA,From the ESA Blogs.,2025-02-04T14:00:00Z,2025-02-04T17:27:51.827226Z,False,"[{'launch_id': '2044f8a1-4dad-4c8b-a3a9-5ecc7045c257', 'provider': 'Launch Library 2'}]",[],Other,"{'ORG': [], 'PERSON': [], 'GPE': []}",['blogs']
28981,China to launch 2 new space station cargo spacecraft on commercial rockets in 2025,"[{'name': 'Andrew Jones', 'socials': None}]",https://spacenews.com/china-to-launch-2-new-space-station-cargo-spacecraft-on-commercial-rockets-in-2025/,https://i0.wp.com/spacenews.com/wp-content/uploads/2022/05/Tianzhou-4-docks-Tianhe-10may2022-CMSA-BACC.jpg?fit=1024%2C568&quality=89&ssl=1,SpaceNews,"
HELSINKI — China will launch a pair of low-cost space station resupply spacecraft this year on new commercial launch vehicles, highlighting advances for the country’s space ecosystem. The missions aim […]
The post China to launch 2 new space station cargo spacecraft on commercial rockets in 2025 appeared first on SpaceNews.",2025-02-04T13:52:42Z,2025-02-04T14:00:27.124751Z,False,[],[],Other,"{'ORG': ['SpaceNews'], 'PERSON': [], 'GPE': ['China', 'China']}","['helsinki', 'china', 'will', 'launch', 'pair', 'cost', 'space', 'station', 'resupply', 'spacecraft', 'year', 'commercial', 'launch', 'vehicles', 'highlighting', 'advances', 'country', 'space', 'ecosystem', 'missions', 'post', 'china', 'launch', 'space', 'station', 'cargo', 'spacecraft', 'commercial', 'rockets', '2025', 'appeared', 'first', 'spacenews']"
28978,"Jörn Spurmann, Rocket Factory Augsburg – Commercial Space Transformers","[{'name': 'SpaceNews Editor', 'socials': None}]",https://spacenews.com/jorn-spurmann-rocket-factory-augsburg-commercial-space-transformers/,https://i0.wp.com/spacenews.com/wp-content/uploads/2025/02/Jorn-Spurmann-2000-x-1500-px.png?fit=1024%2C768&quality=80&ssl=1,SpaceNews,"
In this episode of Commercial Space Transformers SpaceNews Senior Staff Writer Jason Rainbow speaks with Jörn Spurmann, Chief Commercial Officer, Rocket Factory Augsburg.
The post Jörn Spurmann, Rocket Factory Augsburg – Commercial Space Transformers appeared first on SpaceNews.",2025-02-04T12:48:37Z,2025-02-04T12:50:19.118595Z,False,[],[],Other,"{'ORG': ['Commercial Space Transformers SpaceNews', 'Rocket Factory Augsburg', 'Rocket Factory Augsburg', 'SpaceNews'], 'PERSON': ['Writer Jason Rainbow', 'Jörn Spurmann', 'Jörn Spurmann'], 'GPE': []}","['episode', 'commercial', 'space', 'transformers', 'spacenews', 'senior', 'staff', 'writer', 'jason', 'rainbow', 'speaks', 'jörn', 'spurmann', 'chief', 'commercial', 'officer', 'rocket', 'factory', 'augsburg', 'post', 'jörn', 'spurmann', 'rocket', 'factory', 'augsburg', 'commercial', 'space', 'transformers', 'appeared', 'first', 'spacenews']"
